chateau,year,score,price_usd,source
Beychevelle,2017,92,125.0,WineSearcher
Beychevelle,2018,93,139.0,WineSearcher
Beychevelle,2019,93,157.0,WineSearcher
Beychevelle,2020,93,118.0,WineSearcher
Beychevelle,2021,92,96.0,WineSearcher
Beychevelle,2022,94,110.0,WineSearcher
Beychevelle,2023,94,104.0,WineSearcher
Beychevelle,2024,92,88.0,WineSearcher
Calon-Segur,2017,94,125.0,WineSearcher
Calon-Segur,2018,96,189.0,WineSearcher
Calon-Segur,2019,95,193.0,WineSearcher
Calon-Segur,2020,95,163.0,WineSearcher
Calon-Segur,2021,93,127.0,WineSearcher
Calon-Segur,2022,95,161.0,WineSearcher
Calon-Segur,2023,95,134.0,WineSearcher
Calon-Segur,2024,94,96.0,WineSearcher
Clerc-Milon,2017,92,108.0,WineSearcher
Clerc-Milon,2018,94,142.0,WineSearcher
Clerc-Milon,2019,93,135.0,WineSearcher
Clerc-Milon,2020,94,115.0,WineSearcher
Clerc-Milon,2021,92,79.0,WineSearcher
Clerc-Milon,2022,94,95.0,WineSearcher
Clerc-Milon,2023,93,99.0,WineSearcher
Clerc-Milon,2024,92,60.0,WineSearcher
Cos d'Estournel,2017,95,201.0,WineSearcher
Cos d'Estournel,2018,96,246.0,WineSearcher
Cos d'Estournel,2019,97,236.0,WineSearcher
Cos d'Estournel,2020,96,241.0,WineSearcher
Cos d'Estournel,2021,94,217.0,WineSearcher
Cos d'Estournel,2022,96,275.0,WineSearcher
Cos d'Estournel,2023,96,182.0,WineSearcher
Cos d'Estournel,2024,94,123.0,WineSearcher
Ducru-Beaucaillou,2017,95,221.0,WineSearcher
Ducru-Beaucaillou,2018,96,262.0,WineSearcher
Ducru-Beaucaillou,2019,96,252.0,WineSearcher
Ducru-Beaucaillou,2020,96,276.0,WineSearcher
Ducru-Beaucaillou,2021,94,218.0,WineSearcher
Ducru-Beaucaillou,2022,96,280.0,WineSearcher
Ducru-Beaucaillou,2023,95,200.0,WineSearcher
Ducru-Beaucaillou,2024,95,116.0,WineSearcher
Duhart-Milon,2017,91,102.0,WineSearcher
Duhart-Milon,2018,93,115.0,WineSearcher
Duhart-Milon,2019,93,112.0,WineSearcher
Duhart-Milon,2020,92,111.0,WineSearcher
Duhart-Milon,2021,91,83.0,WineSearcher
Duhart-Milon,2022,93,95.0,WineSearcher
Duhart-Milon,2023,93,96.0,WineSearcher
Duhart-Milon,2024,91,60.0,WineSearcher
Giscours,2017,92,91.0,WineSearcher
Giscours,2018,93,96.0,WineSearcher
Giscours,2019,94,87.0,WineSearcher
Giscours,2020,94,79.0,WineSearcher
Giscours,2021,92,79.0,WineSearcher
Giscours,2022,94,100.0,WineSearcher
Giscours,2023,94,79.0,WineSearcher
Giscours,2024,92,59.0,WineSearcher
Grand-Puy-Lacoste,2017,92,121.0,WineSearcher
Grand-Puy-Lacoste,2018,94,100.0,WineSearcher
Grand-Puy-Lacoste,2019,94,98.0,WineSearcher
Grand-Puy-Lacoste,2020,94,88.0,WineSearcher
Grand-Puy-Lacoste,2021,92,76.0,WineSearcher
Grand-Puy-Lacoste,2022,94,100.0,WineSearcher
Grand-Puy-Lacoste,2023,93,78.0,WineSearcher
Grand-Puy-Lacoste,2024,92,56.0,WineSearcher
Haut-Brion,2017,96,,WineSearcher
Haut-Brion,2018,96,,WineSearcher
Haut-Brion,2019,97,,WineSearcher
Haut-Brion,2020,97,,WineSearcher
Haut-Brion,2021,96,,WineSearcher
Haut-Brion,2022,98,,WineSearcher
Haut-Brion,2023,97,,WineSearcher
Haut-Brion,2024,95,,WineSearcher
Lafite Rothschild,2017,95,,WineSearcher
Lafite Rothschild,2018,98,,WineSearcher
Lafite Rothschild,2019,97,,WineSearcher
Lafite Rothschild,2020,97,,WineSearcher
Lafite Rothschild,2021,96,,WineSearcher
Lafite Rothschild,2022,98,,WineSearcher
Lafite Rothschild,2023,97,,WineSearcher
Lafite Rothschild,2024,95,,WineSearcher
Lagrange,2017,91,70.0,WineSearcher
Lagrange,2018,92,70.0,WineSearcher
Lagrange,2019,93,70.0,WineSearcher
Lagrange,2020,93,67.0,WineSearcher
Lagrange,2021,91,54.0,WineSearcher
Lagrange,2022,93,66.0,WineSearcher
Lagrange,2023,93,62.0,WineSearcher
Lagrange,2024,92,47.0,WineSearcher
Latour,2017,96,,WineSearcher
Latour,2018,98,,WineSearcher
Latour,2019,97,,WineSearcher
Latour,2020,96,,WineSearcher
Latour,2021,95,,WineSearcher
Latour,2022,98,,WineSearcher
Latour,2023,96,,WineSearcher
Latour,2024,95,,WineSearcher
Leoville Barton,2017,95,269.0,WineSearcher
Leoville Barton,2018,97,321.0,WineSearcher
Leoville Barton,2019,97,262.0,WineSearcher
Leoville Barton,2020,96,315.0,WineSearcher
Leoville Barton,2021,94,240.0,WineSearcher
Leoville Barton,2022,98,351.0,WineSearcher
Leoville Barton,2023,96,224.0,WineSearcher
Leoville Barton,2024,95,125.0,WineSearcher
Leoville Las Cases,2017,94,269.0,WineSearcher
Leoville Las Cases,2018,96,321.0,WineSearcher
Leoville Las Cases,2019,97,262.0,WineSearcher
Leoville Las Cases,2020,97,315.0,WineSearcher
Leoville Las Cases,2021,94,240.0,WineSearcher
Leoville Las Cases,2022,98,351.0,WineSearcher
Leoville Las Cases,2023,97,224.0,WineSearcher
Leoville Las Cases,2024,95,125.0,WineSearcher
Lynch-Bages,2017,93,163.0,WineSearcher
Lynch-Bages,2018,95,187.0,WineSearcher
Lynch-Bages,2019,95,182.0,WineSearcher
Lynch-Bages,2020,95,165.0,WineSearcher
Lynch-Bages,2021,93,134.0,WineSearcher
Lynch-Bages,2022,95,166.0,WineSearcher
Lynch-Bages,2023,95,125.0,WineSearcher
Lynch-Bages,2024,93,78.0,WineSearcher
Margaux,2017,96,,WineSearcher
Margaux,2018,97,,WineSearcher
Margaux,2019,97,,WineSearcher
Margaux,2020,97,,WineSearcher
Margaux,2021,95,,WineSearcher
Margaux,2022,98,,WineSearcher
Margaux,2023,97,,WineSearcher
Margaux,2024,95,,WineSearcher
Montrose,2017,94,185.0,WineSearcher
Montrose,2018,96,237.0,WineSearcher
Montrose,2019,97,209.0,WineSearcher
Montrose,2020,97,230.0,WineSearcher
Montrose,2021,94,170.0,WineSearcher
Montrose,2022,98,233.0,WineSearcher
Montrose,2023,97,189.0,WineSearcher
Montrose,2024,95,108.0,WineSearcher
Mouton Rothschild,2017,95,,WineSearcher
Mouton Rothschild,2018,98,,WineSearcher
Mouton Rothschild,2019,98,,WineSearcher
Mouton Rothschild,2020,97,,WineSearcher
Mouton Rothschild,2021,95,,WineSearcher
Mouton Rothschild,2022,98,,WineSearcher
Mouton Rothschild,2023,97,,WineSearcher
Mouton Rothschild,2024,95,,WineSearcher
Palmer,2017,95,339.0,WineSearcher
Palmer,2018,97,469.0,WineSearcher
Palmer,2019,97,335.0,WineSearcher
Palmer,2020,96,391.0,WineSearcher
Palmer,2021,94,328.0,WineSearcher
Palmer,2022,97,435.0,WineSearcher
Palmer,2023,96,362.0,WineSearcher
Palmer,2024,95,202.0,WineSearcher
Pichon Baron,2017,94,,WineSearcher
Pichon Baron,2018,96,,WineSearcher
Pichon Baron,2019,97,,WineSearcher
Pichon Baron,2020,96,,WineSearcher
Pichon Baron,2021,94,,WineSearcher
Pichon Baron,2022,97,,WineSearcher
Pichon Baron,2023,96,,WineSearcher
Pichon Baron,2024,93,,WineSearcher
Pichon Lalande,2017,95,200.0,WineSearcher
Pichon Lalande,2018,96,291.0,WineSearcher
Pichon Lalande,2019,96,335.0,WineSearcher
Pichon Lalande,2020,96,242.0,WineSearcher
Pichon Lalande,2021,94,193.0,WineSearcher
Pichon Lalande,2022,97,250.0,WineSearcher
Pichon Lalande,2023,97,181.0,WineSearcher
Pichon Lalande,2024,94,127.0,WineSearcher
Pontet-Canet,2017,94,143.0,WineSearcher
Pontet-Canet,2018,97,169.0,WineSearcher
Pontet-Canet,2019,96,153.0,WineSearcher
Pontet-Canet,2020,95,150.0,WineSearcher
Pontet-Canet,2021,93,103.0,WineSearcher
Pontet-Canet,2022,96,141.0,WineSearcher
Pontet-Canet,2023,96,121.0,WineSearcher
Pontet-Canet,2024,94,82.0,WineSearcher
Prieure-Lichine,2017,90,62.0,WineSearcher
Prieure-Lichine,2018,92,59.0,WineSearcher
Prieure-Lichine,2019,92,52.0,WineSearcher
Prieure-Lichine,2020,92,55.0,WineSearcher
Prieure-Lichine,2021,90,44.0,WineSearcher
Prieure-Lichine,2022,93,55.0,WineSearcher
Prieure-Lichine,2023,92,51.0,WineSearcher
Prieure-Lichine,2024,91,36.0,WineSearcher
Talbot,2017,91,80.0,WineSearcher
Talbot,2018,93,107.0,WineSearcher
Talbot,2019,93,102.0,WineSearcher
Talbot,2020,92,83.0,WineSearcher
Talbot,2021,91,64.0,WineSearcher
Talbot,2022,93,90.0,WineSearcher
Talbot,2023,93,72.0,WineSearcher
Talbot,2024,91,56.0,WineSearcher
d'Armailhac,2017,91,78.0,WineSearcher
d'Armailhac,2018,92,87.0,WineSearcher
d'Armailhac,2019,93,75.0,WineSearcher
d'Armailhac,2020,92,80.0,WineSearcher
d'Armailhac,2021,91,55.0,WineSearcher
d'Armailhac,2022,93,75.0,WineSearcher
d'Armailhac,2023,92,60.0,WineSearcher
d'Armailhac,2024,91,37.0,WineSearcher
